주차장코드,주차장명,주소2,주차장 종류명,"토요일 유,무료 구분명","공휴일 유,무료 구분명"
1367564,해군본부앞 공영주차장(시),서울특별시 영등포구 신길동 812-0,노상 주차장,무료,유료
1367773,가산동 금천교 공영주차장(시),서울특별시 금천구 가산동 691-3,노상 주차장,무료,유료
1367792,당산고가밑 공영주차장(시),서울특별시 영등포구 당산동5가 9-15,노상 주차장,무료,유료
1367804,을지로 공영주차장(시),서울특별시 중구 을지로3가 282-8,노상 주차장,무료,유료
1368504,연신중학교지하공동주차장(구),서울특별시 은평구 불광동 400-4,노외 주차장,무료,무료
1368524,구청앞(구),서울특별시 강북구 수유동 191-1,노상 주차장,무료,무료
1368749,신길5동 공영(구),서울특별시 영등포구 신길동 400-1,노외 주차장,무료,무료
1368955,남산공원 소월로 관광버스전용 주차장(시),서울특별시 중구 남대문로5가 450-0,노상 주차장,유료,유료
1369476,탑골공원 관광버스전용 주차장(시),서울특별시 종로구 종로2가 38-4,노상 주차장,유료,유료
1370001,청계산근린광장(구),서울특별시 서초구 원지동 355-1,노외 주차장,무료,무료
1370100,강일동 주차장(구),서울특별시 강동구 강일동 665-4,노외 주차장,무료,무료
1370269,이경시장 공영주차장(구),서울특별시 동대문구 이문동 86-52,노상 주차장,무료,유료
1370637,번동 햇살 주차장(구),서울특별시 강북구 번동 148-380,노외 주차장,무료,무료
1370857,봉수대공영주차장(구),서울특별시 중랑구 신내동 12-2,노외 주차장,유료,유료
1371689,양천사회단체봉사센터(구),서울특별시 양천구 목동 905-29,노외 주차장,유료,유료
1371690,목동타운홀(구),서울특별시 양천구 목동 905-21,노외 주차장,유료,유료
1372128,마천동 3공영주차장(구),서울특별시 송파구 마천동 128-4,노외 주차장,무료,무료
1372154,문정 공영주차장(구),서울특별시 송파구 문정동 2-5,노외 주차장,무료,무료
1372454,대림노외 공영주차장(시),서울특별시 구로구 구로동 120-5,노외 주차장,무료,무료
1372873,도봉산역 공영주차장(시),서울특별시 도봉구 도봉동 288-19,노외 주차장,무료,무료
1374090,수서역남 공영주차장(시),서울특별시 강남구 수서동 727-0,노외 주차장,무료,무료
1384005,남부골목 전통시장 고객주차장(구),서울특별시 강서구 화곡동 797-7,노외 주차장,무료,유료
1384007,까치산 전통시장 고객주차장(구),서울특별시 강서구 화곡동 342-16,노외 주차장,무료,유료
1384008,송화골목 전통시장 고객주차장(구),서울특별시 강서구 내발산동 720-4,노외 주차장,무료,유료
1384016,가로공원로 지하 주차장(구),서울특별시 강서구 화곡동 662-15,노외 주차장,유료,유료
1384198,동대문 공영주차장(시),서울특별시 중구 신당동 251-7,노외 주차장,무료,무료
1384627,큰마을길(구),서울특별시 강북구 미아동 309-14,노상 주차장,무료,무료
1384980,교육청길(구),서울특별시 강북구 미아동 137-19,노상 주차장,무료,무료
1385457,신문로 공영주차장(구),서울특별시 종로구 신문로1가 58-36,노외 주차장,무료,무료
1386536,서울글로벌센터 공영주차장(시),서울특별시 종로구 서린동 63-0,노외 주차장,유료,유료
1397591,용답제2(평면) 공영주차장(구),서울특별시 성동구 용답동 182-10,노외 주차장,무료,무료
1398740,신교공영(구),서울특별시 종로구 신교동 66-0,노외 주차장,무료,무료
1404649,오류1동 텃골주차장(구),서울특별시 구로구 오류동 6-11,노외 주차장,무료,무료
1404936,천왕역 공영주차장(시),서울특별시 구로구 오류동 174-10,노외 주차장,무료,무료
1410226,중곡시장주차장(구),서울특별시 광진구 중곡동 221-6,노외 주차장,무료,무료
1412826,매바위 공영주차장(구),서울특별시 은평구 응암동 747-8,노외 주차장,무료,무료
1412893,자양전통시장 공영주차장(구),서울특별시 광진구 자양동 631-18,노외 주차장,무료,무료
1415512,견인보관소(구),서울특별시 동대문구 휘경동 361-0,노외 주차장,무료,무료
1415917,구룡 공영주차장(구),서울특별시 금천구 독산동 964-0,노외 주차장,무료,무료
1415929,다목적 공영주차장(구),서울특별시 금천구 독산동 971-0,노외 주차장,무료,무료
